name,priceRange,rating,reviewCount,postCode,Latitude,Longitude_x,value
Oven Mozzarella Bar,,5.0,199,28013.0,40.419780700000004,-3.6994086000000004,995.0
Grama Lounge,$$ - $$$,5.0,2198,28012.0,40.4154903,-3.7016911,10990.0
Trattoria Pulcinella,$$ - $$$,4.5,1343,28004.0,40.4246245,-3.6965822,6043.5
Steakburger Arenal,$$ - $$$,5.0,851,28013.0,40.4178794,-3.7081797999999995,4255.0
Entre Santos Madrid,$$ - $$$,5.0,677,28004.0,40.4213293,-3.6987027,3385.0
El Cocodrilo,$$ - $$$,5.0,174,28028.0,40.4360571,-3.6717239999999998,870.0
Kathmandu Tandoori House Nepali & Indian Cuisine,$$ - $$$,5.0,2055,28042.0,40.4743251,-3.5786921,10275.0
Restaurante Gabri,$$ - $$$,3.5,9,28025.0,40.3870893,-3.7393793,31.5
Beytna Restaurante,$$ - $$$,5.0,166,28043.0,40.4568544,-3.6481260000000004,830.0
Cerveceria El Cano,$,5.0,93,28005.0,40.4045775,-3.7189992999999997,465.0
Sakale,$$ - $$$,5.0,1902,28004.0,40.4232716,-3.7037080000000002,9510.0
Los Montes de Galicia,$$ - $$$,5.0,8824,28028.0,40.4347275,-3.6682732000000002,44120.0
Bresca,$$ - $$$,4.5,116,28013.0,40.4187395,-3.6997114,522.0
El Social,$$ - $$$,5.0,454,28004.0,40.4233848,-3.6994512999999998,2270.0
Astor,$$ - $$$,5.0,1370,28005.0,40.4126411,-3.7095877,6850.0
Gramabar,$$ - $$$,4.5,1612,28013.0,40.419787,-3.7070622,7254.0
Pizza 3Cruces,$,5.0,575,28013.0,40.4192785,-3.7034285000000002,2875.0
Empanadas Malvon. Bernabeu,$$ - $$$,5.0,227,28036.0,40.44644,-3.6896410000000004,1135.0
La Gaditana Castellana,$$ - $$$,5.0,1151,28046.0,40.4361433,-3.6887472000000003,5755.0
Sto Globo Sushi Room,$$ - $$$,5.0,235,28004.0,40.4257195,-3.6958141,1175.0
Moratin Vinoteca Bistrot,$$ - $$$,4.5,1142,28014.0,40.412543799999995,-3.6954274,5139.0
Eiffel,$$ - $$$,4.5,878,28024.0,40.4118609,-3.7500892,3951.0
Restaurante Algarabia,$$ - $$$,4.5,1115,28013.0,40.4174678,-3.7104097,5017.5
Kuche Madrid,$$ - $$$,3.5,532,28015.0,40.426768599999996,-3.7125275,1862.0
Azotea Forus Barcelo,$$ - $$$,5.0,1419,28004.0,40.4269268,-3.6988689,7095.0
Level Veggie Bistro,$$ - $$$,4.5,659,28009.0,40.415662299999994,-3.6776159,2965.5
Sal Gorda,$$ - $$$,4.0,198,28040.0,40.4477778,-3.7147222,792.0
La descarada,$$ - $$$,5.0,162,28006.0,40.42993370000001,-3.6731269999999996,810.0
Restaurante Morgana,$$ - $$$,5.0,860,28004.0,40.4222857,-3.6978953999999997,4300.0
Inclan Brutal Bar,$$ - $$$,4.5,4579,28012.0,40.4150645,-3.7019787,20605.5
Gustazio Gastrobar,$$ - $$$,5.0,185,28045.0,40.388235200000004,-3.6909101000000004,925.0
Taberna el Sur,$$ - $$$,4.5,6256,28012.0,40.411047499999995,-3.6995454,28152.0
Cebo,$$$$,4.5,1076,28014.0,40.4162409,-3.6986966,4842.0
El Picaporte Bistro,$$ - $$$,4.5,328,28010.0,40.4367373,-3.6942195,1476.0
Taberna Mas Al Sur,$$ - $$$,4.5,4713,28012.0,40.4096415,-3.6963793,21208.5
Curry y Canela,$$ - $$$,5.0,248,28001.0,40.4243352,-3.6790824,1240.0
Realcafe Bernabeu,$$ - $$$,3.5,1058,28036.0,40.45303870000001,-3.6883337,3703.0
Casa Lolea Madrid,$$ - $$$,4.5,432,28004.0,40.42190170000001,-3.6972822,1944.0
Vinitus Gran Via Madrid,$$ - $$$,5.0,288,28013.0,40.4193028,-3.6976468000000002,1440.0
Bombardino Cafe,$$ - $$$,5.0,339,28012.0,40.4101728,-3.6977434000000002,1695.0
Restaurante Nuevo Horno de Santa Teresa,$$ - $$$,4.5,653,28004.0,40.4257195,-3.6958141,2938.5
El Tormo,$$ - $$$,5.0,176,28005.0,40.411711100000005,-3.7145897000000003,880.0
Meson Restaurante La Mi Venta,$$ - $$$,4.5,2543,28013.0,40.4203535,-3.7124744,11443.5
Sazon Arte,$$ - $$$,5.0,254,28009.0,40.419734999999996,-3.6770012999999997,1270.0
