name,priceRange,rating,reviewCount,address,postCode,locality,url
Oven Mozzarella Bar,,5.0,199,"Calle Gran Via 55 Oven, Steakburger y Roastery",28013.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Bar-Madrid.html
Grama Lounge,$$ - $$$,5.0,2198,Calle de la Cruz 19,28012.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html
Trattoria Pulcinella,$$ - $$$,4.5,1343,Calle Regueros 7,28004.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html
SteakBurger 55,$$ - $$$,5.0,221,Calle Gran Via 55 Galeria Gran Via 55,28013.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_55-Madrid.html
Steakburger Arenal,$$ - $$$,5.0,851,Calle del Arenal 26,28013.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html
Entre Santos Madrid,$$ - $$$,5.0,677,Calle de San Bartolome 4,28004.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14062978-Reviews-Entre_Santos_Madrid-Madrid.html
El Cocodrilo,$$ - $$$,5.0,174,Calle de Pilar de Zaragoza 60,28028.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d8714073-Reviews-El_Cocodrilo-Madrid.html
Kathmandu Tandoori House Nepali & Indian Cuisine,$$ - $$$,5.0,2055,Calle Acuario 11 B . Plaza de hermanos,28042.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House_Nepali_Indian_Cuisine-Madrid.html
Restaurante Gabri,$$ - $$$,3.5,9,Calle Castrojeriz 12,28025.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10245495-Reviews-Restaurante_Gabri-Madrid.html
Beytna Restaurante,$$ - $$$,5.0,166,Calle Moscatelar 18,28043.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d18968021-Reviews-Beytna_Restaurante-Madrid.html
Cerveceria El Cano,$,5.0,93,Calle Cobos de Segovia 30,28005.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d16807647-Reviews-Cerveceria_El_Cano-Madrid.html
Sakale,$$ - $$$,5.0,1902,Calle del Molino de Viento 4,28004.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html
Los Montes de Galicia,$$ - $$$,5.0,8824,Calle Azcona 46,28028.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html
Bresca,$$ - $$$,4.5,116,Calle de la Virgen de los Peligros 7,28013.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d16663184-Reviews-Bresca-Madrid.html
El Social,$$ - $$$,5.0,454,Calle Hernan Cortes 19,28004.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html
Astor,$$ - $$$,5.0,1370,Calle del Almendro 9,28005.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html
Restaurante DCorazon,$$ - $$$,4.5,2194,Plaza Mayor 30 Entrada al restaurante por Calle de la Sal 2,28012.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_DCorazon-Madrid.html
Gramabar,$$ - $$$,4.5,1612,Calle Preciados 40,28013.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d6761498-Reviews-Gramabar-Madrid.html
Pizza 3Cruces,$,5.0,575,"Calle de la Salud 13 Gran Via, near Hostal Triana",28013.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d13157242-Reviews-Pizza_3Cruces-Madrid.html
Pastamore,$$ - $$$,5.0,111,Calle de Alcala 191,28009.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d18480953-Reviews-Pastamore-Madrid.html
Empanadas Malvon. Bernabeu,$$ - $$$,5.0,227,Paseo de La Habana 52. Local 2,28036.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d15617751-Reviews-Empanadas_Malvon_Bernabeu-Madrid.html
La Gaditana Castellana,$$ - $$$,5.0,1151,Paseo Castellana 56,28046.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d15364769-Reviews-La_Gaditana_Castellana-Madrid.html
Sto Globo Sushi Room,$$ - $$$,5.0,235,Calle de Santa Teresa 8,28004.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d16745406-Reviews-Sto_Globo_Sushi_Room-Madrid.html
Moratin Vinoteca Bistrot,$$ - $$$,4.5,1142,Calle Moratin 36,28014.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d3669444-Reviews-Moratin_Vinoteca_Bistrot-Madrid.html
Empanadas Malvon Retiro,$$ - $$$,5.0,149,Calle Narvaez 60,28009.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17609785-Reviews-Empanadas_Malvon_Retiro-Madrid.html
Indian Aroma,$$ - $$$,4.5,726,Calle Ventura de La Vega 6,28014.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1015592-Reviews-Indian_Aroma-Madrid.html
Eiffel,$$ - $$$,4.5,878,Sesena 18 Close to Zoo and amussement park,28024.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html
Restaurante Algarabia,$$ - $$$,4.5,1115,Calle de la Union 8 Cerca Del Metro De Ópera,28013.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991733-Reviews-Restaurante_Algarabia-Madrid.html
Kuche Madrid,$$ - $$$,3.5,532,Calle Princesa 18,28015.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d8860328-Reviews-Kuche_Madrid-Madrid.html
Azotea Forus Barcelo,$$ - $$$,5.0,1419,Calle Barcelo 6,28004.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html
Level Veggie Bistro,$$ - $$$,4.5,659,Avenida Menendez Pelayo 61,28009.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10451094-Reviews-Level_Veggie_Bistro-Madrid.html
Sal Gorda,$$ - $$$,4.0,198,Calle Beatriz de Bobadilla 9 Acceso por el número 3 de la calle,28040.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2445359-Reviews-Sal_Gorda-Madrid.html
La descarada,$$ - $$$,5.0,162,Calle de Jose Ortega y Gasset 73,28006.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14157996-Reviews-La_descarada-Madrid.html
Restaurante Morgana,$$ - $$$,5.0,860,Calle de Augusto Figueroa 33,28004.0,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12316948-Reviews-Restaurante_Morgana-Madrid.html
